Total,Colegiados no jubilados,,,Colegiados jubilados,,,No consta,,,
,Total,Hombres,Mujeres,Total,Hombres,Mujeres,Total,Hombres,Mujeres,Total,Hombres,Mujeres,
TOTAL,100,00,28,38,71,62,93,58,25,79,67,79,5,74,2,35,3,38,0,68,0,23,0,45,
Andalucía,100,00,33,98,66,02,92,32,30,53,61,80,7,65,3,44,4,20,0,03,0,02,0,02,
Aragón,100,00,28,54,71,46,90,02,25,25,64,77,9,36,3,12,6,24,0,61,0,17,0,45,
Asturias, Principado de,100,00,27,43,72,57,88,54,23,84,64,70,11,46,3,59,7,88,0,00,0,00,0,00,
Balears, Illes,100,00,33,89,66,11,92,74,30,41,62,33,7,26,3,48,3,78,0,00,0,00,0,00,
Canarias,100,00,33,12,66,88,95,08,30,71,64,37,4,92,2,41,2,51,0,00,0,00,0,00,
Cantabria,100,00,29,01,70,99,92,40,25,83,66,57,7,60,3,18,4,42,0,00,0,00,0,00,
Castilla y León,100,00,25,66,74,34,91,73,22,73,68,99,7,13,2,68,4,45,1,14,0,25,0,89,
Castilla-La Mancha,100,00,31,09,68,91,91,69,27,01,64,68,8,24,4,08,4,15,0,07,0,00,0,07,
Cataluña,100,00,26,15,73,85,94,02,23,82,70,19,5,74,2,26,3,48,0,24,0,06,0,18,
Comunitat Valenciana,100,00,32,57,67,43,92,40,28,95,63,45,5,16,2,46,2,70,2,44,1,17,1,28,
Extremadura,100,00,32,83,67,17,90,13,27,74,62,39,9,87,5,09,4,78,0,00,0,00,0,00,
Galicia,100,00,25,38,74,62,88,86,22,26,66,60,7,82,2,09,5,73,3,32,1,03,2,29,
Madrid, Comunidad de,100,00,23,38,76,62,100,00,23,38,76,62,0,00,0,00,0,00,0,00,0,00,0,00,
Murcia, Región de,100,00,37,17,62,83,92,46,33,65,58,81,7,54,3,51,4,02,0,00,0,00,0,00,
Navarra, Comunidad Foral de,100,00,20,53,79,47,93,25,18,28,74,97,6,75,2,25,4,50,0,00,0,00,0,00,
País Vasco,100,00,19,72,80,28,91,91,17,25,74,66,6,74,2,27,4,47,1,35,0,21,1,15,
Rioja, La,100,00,28,92,71,08,91,17,25,39,65,78,6,84,3,53,3,31,1,99,0,00,1,99,
Ceuta,100,00,41,03,58,97,97,44,39,74,57,69,2,56,1,28,1,28,0,00,0,00,0,00,
Melilla,100,00,56,10,43,90,97,56,54,88,42,68,2,44,1,22,1,22,0,00,0,00,0,00,
